"Module Settings","Module Settings"
"Giftd User ID (user_id)","Giftd User ID (user_id)"
"Giftd API Key (api_key)","Giftd API Key (api_key)"
"Partner Token Prefix","Partner Token Prefix"
"You have successfully enabled Giftd module!","You have successfully enabled Giftd module!"
"You have successfully disabled Giftd module!","You have successfully disabled Giftd module!"
"An error occurred while synchronization with Giftd: %1","An error occurred while synchronization with Giftd: %1"
"An error occurred while synchronization with Giftd. Please, try again later.","An error occurred while synchronization with Giftd. Please, try again later."
"Coupon code ""%1"" is no longer active.","Coupon code ""%1"" is no longer active."
"Could not use coupon code ""%1"" at the moment. Please, try again later.","Could not use coupon code ""%1"" at the moment. Please, try again later."
"To use this gift card the subtotal should be at least %1","To use this gift card the subtotal should be at least %1"
